site_id,family,locale,file_path,en_path,issue_type,detail,priority
reference.aspose.org,cells,ru,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\ru\cells\python\ChartAxis.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\ChartAxis.md,table_desc_not_translated,7/8 desc cells English,3
reference.aspose.org,cells,bg,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\bg\cells\python\ChartErrorBars.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\ChartErrorBars.md,table_desc_not_translated,6/6 desc cells English,3
reference.aspose.org,cells,ru,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\ru\cells\python\ChartErrorBars.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\ChartErrorBars.md,table_desc_not_translated,6/6 desc cells English,3
reference.aspose.org,cells,fa,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\fa\cells\python\ChartView3D.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\ChartView3D.md,table_desc_not_translated,7/7 desc cells English,3
reference.aspose.org,cells,he,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\he\cells\python\ChartView3D.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\ChartView3D.md,table_desc_not_translated,7/7 desc cells English,3
reference.aspose.org,cells,bg,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\bg\cells\python\CSVLoadOptions.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\CSVLoadOptions.md,table_desc_not_translated,7/7 desc cells English,3
reference.aspose.org,cells,el,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\el\cells\python\CSVLoadOptions.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\CSVLoadOptions.md,table_desc_not_translated,7/7 desc cells English,3
reference.aspose.org,cells,fa,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\fa\cells\python\CSVLoadOptions.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\CSVLoadOptions.md,table_desc_not_translated,7/7 desc cells English,3
reference.aspose.org,cells,he,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\he\cells\python\CSVLoadOptions.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\CSVLoadOptions.md,table_desc_not_translated,7/7 desc cells English,3
reference.aspose.org,cells,ru,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\ru\cells\python\CSVLoadOptions.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\CSVLoadOptions.md,table_desc_not_translated,7/7 desc cells English,3
reference.aspose.org,cells,bg,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\bg\cells\python\CSVSaveOptions.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\CSVSaveOptions.md,table_desc_not_translated,7/7 desc cells English,3
reference.aspose.org,cells,fa,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\fa\cells\python\CSVSaveOptions.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\CSVSaveOptions.md,table_desc_not_translated,7/7 desc cells English,3
reference.aspose.org,cells,he,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\he\cells\python\CSVSaveOptions.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\CSVSaveOptions.md,table_desc_not_translated,7/7 desc cells English,3
reference.aspose.org,cells,ru,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\ru\cells\python\CSVSaveOptions.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\CSVSaveOptions.md,table_desc_not_translated,7/7 desc cells English,3
reference.aspose.org,cells,bg,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\bg\cells\python\EncryptionParameters.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\EncryptionParameters.md,table_desc_not_translated,4/5 desc cells English,3
reference.aspose.org,cells,ru,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\ru\cells\python\EncryptionParameters.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\EncryptionParameters.md,table_desc_not_translated,4/5 desc cells English,3
reference.aspose.org,cells,bg,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\bg\cells\python\JsonSaveOptions.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\JsonSaveOptions.md,table_desc_not_translated,8/8 desc cells English,3
reference.aspose.org,cells,el,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\el\cells\python\JsonSaveOptions.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\JsonSaveOptions.md,table_desc_not_translated,8/8 desc cells English,3
