site_id,family,locale,issue_type,count
kb.aspose.org,3d,fi,link_path_corrupted,4
kb.aspose.org,3d,fr,link_path_corrupted,4
kb.aspose.org,3d,he,link_path_corrupted,4
kb.aspose.org,3d,hu,link_path_corrupted,4
kb.aspose.org,3d,id,link_path_corrupted,4
kb.aspose.org,3d,it,link_path_corrupted,4
kb.aspose.org,3d,ja,link_path_corrupted,4
kb.aspose.org,3d,lv,link_path_corrupted,4
kb.aspose.org,3d,ms,link_path_corrupted,4
kb.aspose.org,3d,nl,link_path_corrupted,4
kb.aspose.org,3d,no,link_path_corrupted,4
kb.aspose.org,3d,ro,link_path_corrupted,4
kb.aspose.org,3d,ru,link_path_corrupted,4
kb.aspose.org,3d,sk,link_path_corrupted,4
kb.aspose.org,3d,sr,link_path_corrupted,4
kb.aspose.org,3d,tr,link_path_corrupted,4
kb.aspose.org,3d,uk,link_path_corrupted,4
kb.aspose.org,3d,vi,link_path_corrupted,4
kb.aspose.org,3d,zh,link_path_corrupted,4
reference.aspose.org,3d,ar,table_desc_not_translated,4
reference.aspose.org,3d,bg,table_desc_not_translated,4
reference.aspose.org,3d,el,table_desc_not_translated,4
reference.aspose.org,3d,fr,newline_explosion,4
reference.aspose.org,3d,ja,link_path_corrupted,4
reference.aspose.org,cells,sr,newline_explosion,4
reference.aspose.org,cells,zh,newline_explosion,4
reference.aspose.org,cells,zh,table_desc_not_translated,4
reference.aspose.org,email,bg,table_desc_not_translated,4
reference.aspose.org,note,ru,table_desc_not_translated,4
reference.aspose.org,pdf,he,partial_script_contamination_gate31,4
reference.aspose.org,pdf,zh,double_period,4
reference.aspose.org,slides,zh,table_desc_not_translated,4
websites.aspose.org,aspose,es,title_mismatch,4
websites.aspose.org,aspose,id,title_mismatch,4
websites.aspose.org,aspose,it,title_mismatch,4
websites.aspose.org,aspose,pt,title_mismatch,4
websites.aspose.org,aspose,sk,title_mismatch,4
websites.aspose.org,aspose,vi,title_mismatch,4
blog.aspose.org,cells,tr,code_fence_dropped,3
blog.aspose.org,cells,vi,code_fence_dropped,3
blog.aspose.org,slides,hu,code_fence_dropped,3
docs.aspose.org,barcode,ar,link_path_corrupted,3
docs.aspose.org,barcode,bg,link_path_corrupted,3
docs.aspose.org,barcode,ca,link_path_corrupted,3
docs.aspose.org,barcode,el,link_path_corrupted,3
docs.aspose.org,barcode,fa,link_path_corrupted,3
docs.aspose.org,barcode,fr,link_path_corrupted,3
docs.aspose.org,barcode,hi,link_path_corrupted,3
docs.aspose.org,barcode,hu,link_path_corrupted,3
docs.aspose.org,barcode,id,link_path_corrupted,3
docs.aspose.org,barcode,pt,link_path_corrupted,3
docs.aspose.org,barcode,ro,link_path_corrupted,3
docs.aspose.org,barcode,ru,link_path_corrupted,3
docs.aspose.org,barcode,th,link_path_corrupted,3
docs.aspose.org,barcode,zh,link_path_corrupted,3
docs.aspose.org,cells,de,link_path_corrupted,3
docs.aspose.org,cells,fi,link_path_corrupted,3
docs.aspose.org,cells,fr,link_path_corrupted,3
docs.aspose.org,cells,sv,code_fence_dropped,3
docs.aspose.org,cells,tr,code_fence_dropped,3
docs.aspose.org,cells,vi,code_fence_dropped,3
docs.aspose.org,page,ar,link_path_corrupted,3
docs.aspose.org,page,bg,link_path_corrupted,3
docs.aspose.org,page,ca,link_path_corrupted,3
docs.aspose.org,page,el,link_path_corrupted,3
docs.aspose.org,page,es,link_path_corrupted,3
docs.aspose.org,page,fa,link_path_corrupted,3
docs.aspose.org,page,he,link_path_corrupted,3
docs.aspose.org,page,hr,link_path_corrupted,3
docs.aspose.org,page,hu,link_path_corrupted,3
docs.aspose.org,page,pt,link_path_corrupted,3
docs.aspose.org,page,ro,link_path_corrupted,3
docs.aspose.org,page,sv,link_path_corrupted,3
docs.aspose.org,page,th,link_path_corrupted,3
docs.aspose.org,page,tr,link_path_corrupted,3
docs.aspose.org,page,uk,link_path_corrupted,3
docs.aspose.org,page,vi,link_path_corrupted,3
docs.aspose.org,page,zh,link_path_corrupted,3
docs.aspose.org,pdf,th,double_period,3
docs.aspose.org,slides,fa,link_path_corrupted,3
docs.aspose.org,slides,hi,link_path_corrupted,3
docs.aspose.org,slides,th,link_path_corrupted,3
docs.aspose.org,slides,uk,link_path_corrupted,3
docs.aspose.org,words,de,link_path_corrupted,3
docs.aspose.org,words,es,link_path_corrupted,3
docs.aspose.org,words,fr,link_path_corrupted,3
docs.aspose.org,words,hi,link_path_corrupted,3
docs.aspose.org,words,it,link_path_corrupted,3
docs.aspose.org,words,ko,link_path_corrupted,3
docs.aspose.org,words,lt,link_path_corrupted,3
docs.aspose.org,words,ro,link_path_corrupted,3
docs.aspose.org,words,sk,link_path_corrupted,3
docs.aspose.org,words,sv,link_path_corrupted,3
docs.aspose.org,words,zh,link_path_corrupted,3
kb.aspose.org,3d,cs,double_period,3
kb.aspose.org,3d,fi,code_fence_dropped,3
kb.aspose.org,3d,th,link_path_corrupted,3
kb.aspose.org,cells,ar,double_period,3
kb.aspose.org,cells,cs,double_period,3
kb.aspose.org,cells,de,double_period,3
kb.aspose.org,cells,tr,code_fence_dropped,3
kb.aspose.org,cells,vi,code_fence_dropped,3
kb.aspose.org,words,fa,double_period,3
kb.aspose.org,words,he,double_period,3
kb.aspose.org,words,zh,double_period,3
reference.aspose.org,cells,ar,table_desc_not_translated,3
reference.aspose.org,note,bg,table_desc_not_translated,3
reference.aspose.org,note,el,title_mismatch,3
reference.aspose.org,note,es,newline_explosion,3
reference.aspose.org,note,es,title_mismatch,3
reference.aspose.org,note,fa,newline_explosion,3
reference.aspose.org,note,fa,table_desc_not_translated,3
reference.aspose.org,note,fa,title_mismatch,3
reference.aspose.org,note,fi,newline_explosion,3
reference.aspose.org,note,fi,title_mismatch,3
reference.aspose.org,note,he,newline_explosion,3
reference.aspose.org,note,he,table_desc_not_translated,3
reference.aspose.org,note,he,title_mismatch,3
reference.aspose.org,note,hi,newline_explosion,3
reference.aspose.org,note,hi,table_desc_not_translated,3
reference.aspose.org,note,hi,title_mismatch,3
reference.aspose.org,note,hr,shortcode_leak,3
reference.aspose.org,note,hr,title_mismatch,3
reference.aspose.org,note,hu,newline_explosion,3
reference.aspose.org,note,hu,title_mismatch,3
reference.aspose.org,note,id,newline_explosion,3
reference.aspose.org,note,id,title_mismatch,3
reference.aspose.org,note,it,newline_explosion,3
reference.aspose.org,note,it,title_mismatch,3
reference.aspose.org,note,ja,title_mismatch,3
reference.aspose.org,note,ko,title_mismatch,3
reference.aspose.org,note,lt,newline_explosion,3
reference.aspose.org,note,lt,title_mismatch,3
reference.aspose.org,note,lv,newline_explosion,3
reference.aspose.org,note,lv,title_mismatch,3
reference.aspose.org,note,ms,newline_explosion,3
reference.aspose.org,note,ms,title_mismatch,3
reference.aspose.org,note,nl,newline_explosion,3
reference.aspose.org,note,nl,title_mismatch,3
reference.aspose.org,note,no,newline_explosion,3
reference.aspose.org,note,no,title_mismatch,3
reference.aspose.org,note,pl,newline_explosion,3
reference.aspose.org,note,pl,title_mismatch,3
reference.aspose.org,note,pt,newline_explosion,3
reference.aspose.org,note,pt,title_mismatch,3
reference.aspose.org,note,ro,newline_explosion,3
reference.aspose.org,note,ro,title_mismatch,3
reference.aspose.org,note,ru,newline_explosion,3
reference.aspose.org,note,ru,title_mismatch,3
reference.aspose.org,note,sk,newline_explosion,3
reference.aspose.org,note,sk,title_mismatch,3
reference.aspose.org,note,sr,shortcode_leak,3
reference.aspose.org,note,sr,title_mismatch,3
reference.aspose.org,note,sv,newline_explosion,3
reference.aspose.org,note,sv,title_mismatch,3
reference.aspose.org,note,th,title_mismatch,3
reference.aspose.org,note,tr,newline_explosion,3
reference.aspose.org,note,tr,title_mismatch,3
reference.aspose.org,note,uk,title_mismatch,3
reference.aspose.org,note,vi,newline_explosion,3
reference.aspose.org,note,vi,table_desc_not_translated,3
reference.aspose.org,note,vi,title_mismatch,3
reference.aspose.org,note,zh,newline_explosion,3
reference.aspose.org,note,zh,table_desc_not_translated,3
reference.aspose.org,note,zh,title_mismatch,3
reference.aspose.org,pdf,es,double_period,3
reference.aspose.org,slides,he,table_desc_not_translated,3
reference.aspose.org,slides,lt,double_period,3
reference.aspose.org,slides,sr,double_period,3
websites.aspose.org,groupdocs,ca,title_mismatch,3
websites.aspose.org,groupdocs,es,title_mismatch,3
websites.aspose.org,groupdocs,fa,title_mismatch,3
websites.aspose.org,groupdocs,fi,title_mismatch,3
websites.aspose.org,groupdocs,fr,title_mismatch,3
websites.aspose.org,groupdocs,hi,title_mismatch,3
websites.aspose.org,groupdocs,ja,title_mismatch,3
websites.aspose.org,groupdocs,ko,title_mismatch,3
websites.aspose.org,groupdocs,pl,title_mismatch,3
websites.aspose.org,groupdocs,pt,title_mismatch,3
websites.aspose.org,groupdocs,ru,title_mismatch,3
websites.aspose.org,groupdocs,sv,title_mismatch,3
websites.aspose.org,groupdocs,th,title_mismatch,3
